#本表聲旁及轄字無重覆。
⺽	⺽䳔閰
坐	㛗䂳侳剉坐夎座挫痤睉矬脞莝趖遳銼锉髽
坒	㙄䯗坒悂梐狴陛
坤	坤
坴	䡜坴淕睦稑踛逵陆陸鯥鵱
垂	㩾䅜䮔倕厜唾垂埵娷捶涶甀睡硾箠綞缍腄菙諈錘锤陲
垔	㢾䚈垔堙歅湮煙甄禋籈薽諲鄄闉陻黫
垖	䏨垖桘頧鴭
垚	垚
埶	亵势勢呓囈埶暬槷槸热熱爇艺蓺藝褹褻
執	㝪䠟䲀垫執墊慹执挚摯漐瓡絷縶蓻蛰蟄褺謺贄贽騺鷙鸷
堂	䣘坣堂樘瞠糛膛螳鏜镗闛隚鼞
堇	㝻㨷㹏仅僅勤囏堇墐廑慬懃懄槿歏殣漌瑾瘽螼覲觐謹谨鄞饉馑
堯	㚁䁱䥵䴃侥僥哓嘵堯墝娆嬈尧峣嶢憢挠撓晓曉桡橈浇澆烧燒獟皢硗磽穘繞绕翘翹膮荛蕘蛲蟯襓譊趬跷蹺遶鐃铙顤饒饶驍
報	報报
