#本表聲旁及轄字無重覆。
⺽	⺽䳔閰
身	㑗㧶身銵
躬	匑穷窮藭躬躳
車	厙库庫砗硨裤褲車车
軍	㑮㡓㫎䝍䡣䩵䮝军喗堚恽惲挥揮晕晖暈暉楎浑渾瀈煇珲琿璭瘒皲皸睴緷翚翬荤葷褌諢诨賱軍輝辉运運郓鄆韗顐餫鯶鶤鹍鼲齳
軎	軎
輦	撵攆輦辇鄻
轟	轟轰
轡	轡
辛	㲔㾕垶莘觪辛鋅锌騂骍
辜	䐻嫴橭辜
辟	㠔㱸㵨䌟僻劈噼壁嬖幦廦憵掰擗擘檗澼璧甓癖糪繴臂薜襞譬躃躄辟避鐴鐾闢霹鷿鼊
辠	辠
辡	㦚㸤办瓣辡辦辨辩辫辬辮辯
辥	㔎㜸孼孽嶭櫱糱糵萨薛薩蘖蘗蠥躠辥
辭	辞辤辭
辰	㖘㰮㲀䀼䔚䟴䢅䣅䳲侲唇娠宸屒帪振敐晨桭漘祳脣脤蜃裖賑赈辰辴鋠陙震鷐麎
辱	㦺傉嗕媷搙槈溽縟缛耨蓐褥辱鄏鎒
農	㺜䁸䃩䢉侬儂农哝噥嶩憹擃檂浓濃癑秾穠脓膿襛農辳醲鬞齈
辵	辵
迺	迺
追	㷟䨨䭔塠搥槌磓縋缒膇追鎚
退	腿褪退
送	送
逐	䮱篴蓫逐鱁
造	慥糙艁造
逢	㡝㷭䩼漨篷縫缝蓬蠭逄逢
連	㦁㰈䃛僆嗹摙梿槤涟漣琏璉縺翴莲蓮连連鏈链鰱鲢
進	䗯璡进進
逸	逸
遂	䡵旞檖澻燧璲穟襚譢遂邃鐩隧
道	䆃导導衟道
達	㒓挞撻澾薘跶躂達闥闼鞑韃
遣	䪈䭤繾缱譴谴遣
遺	壝瀢遗遺
邍	邍
邑	䓃䭂䱒俋唈悒挹浥裛邑
邕	㻾嗈噰壅廱拥擁澭灉甕痈癰罋臃邕郺雍雝饔齆
那	哪娜挪那
邦	垹梆綁绑邦
郭	䁨崞廓椁槨漷郭霩鞟鞹
郵	郵
都	嘟都
鄉	䦳乡响曏膷芗薌蚃蠁鄉響飨饗
酉	㾞庮梄槱莤逎酉酒醜
酋	㥢偤媨崷揂楢煪犹猶猷緧莸蕕蝤蟗趥輶遒酋鞧鰌
酓	㜝㱃䳺盦酓
醯	橀醯
釁	亹斖璺舋虋衅釁
釆	釆
采	㥒䐆䰂埰寀彩採棌睬綵菜踩采
里	㦟㽚㾖俚厘哩喱埋娌悝梩榸浬狸理艃荲薶裏裡貍里霾鯉鲤
重	㗢㣫䳯偅动動喠堹尰恸慟懂揰歱湩畽種箽籦緟肿腫董蝩衝褈諥踵重鍾
量	糧量
釐	剺嫠孷斄漦犛釐
金	㕋䘳唫崟嵚嶔廞捦揿撳欽淦菳衔趛金鈙銜錦钦锦顉鵭
錽	鋄錽
鑿	凿糳鑿
長	㙊䂻䗅䠆䩨伥倀帐帳张張怅悵掁枨棖涨漲瓺痮粻胀脹苌萇賬账鋹長长韔餦鼚
門	们們問悶扪捫焖燜聞蔄蕄門閩閿闅门问闷闻闽阌
閃	閃闪
閉	閇閉闭
閏	撋润潤瞤閏閠闰
閐	閐
閑	䔵娴嫻閑闲鷴
閒	㗴㶕僩嫺憪撊橌涧澗痫癇瞯简簡蕑裥襇襉覵覸鐧锏閒間间鬜
閔	悯憫潣燘簢閔闵
閭	䕡榈櫚閭闾
閵	䉮蔺藺躏躙躪轥閵
閻	㶄㿕䌪壛櫩爓讇閻阎
闌	㘓䪍兰幱拦攔斓斕栏欄澜瀾烂爛爤籣糷蘭讕谰躝鑭镧闌阑韊
闖	㶒闖闯
阜	㷆䘀埠阜
阿	䋪啊娿婀痾阿
陟	陟騭骘
除	㾻滁篨蒢除
陳	敶阵陈陣陳
隋	䔺䜏䜐䝐䤻䭉䲊堕堶墮媠嫷嶞惰憜撱椭橢毻瀡隋随隨隳髓鬌
隓	隓
隙	虩隙
隶	㥆䇐䠈叇埭曃棣殔逮隶靆齂
隸	隷隸
隹	隹
隺	㹊㿥䮤傕寉搉榷確篧蒮隺髉鶴鹤
隻	隻
隼	准奞榫準隼
雀	雀
集	㗱㠍䌖䕹囃杂潗磼穕鏶集雜雥
雈	雈
雋	儁寯檇臇鐫镌隽雋
雔	售犨犫讎雔雠
雙	㩳䉶䝄双愯艭雙
雚	䑏䚭䟒䠰劝勸嚾孉懽权權欢歡灌爟獾瓘矔罐虇蠸觀观讙貛酄鑵雚顴颧驩鸛鹳
難	㬮䕼傩儺戁摊攤滩灘瘫癱臡难難
雨	雨
雩	㻬嶀摴樗謣鄠雩
雷	擂癗礌蕾鐳镭雷
需	㹘䞕䨲䰰儒嚅嬬孺懦擩濡獳糯繻羺臑蠕襦譳醹鑐需顬鱬
霍	攉瀖癨矐籗臛藿霍靃
霜	孀霜驦骦鸘
霝	䉹䡼孁棂櫺欞灵爧蘦酃醽霛霝靈麢龗
霸	䨰坝壩欛灞霸
青	㵾䑶䝼倩凊圊婧崝情掅晴棈清猜睛箐篟精綪聙菁蒨蜻請请輤青靓靖靗靘静靚靜鯖鲭鶄鼱
非	㹃䕁䠊䤏䨽䨾䩁俳匪厞啡奜婓婔屝徘悱悲扉排斐棐棑榧猆琲痱篚緋绯翡腓菲蜚裴裶誹诽輩輫辈陫霏非餥馡騑鯡鲱
面	㮌偭勔愐湎緬缅腼蝒面麵
革	㮖䪂緙缂諽革鞂
韋	䙟伟偉围圍媁帏幃愇暐椲湋潿炜煒玮瑋祎禕緯纬苇葦袆褘諱讳违違郼鍏闈闱韋韙韡韦韪
韭	韭韮
韱	㡨䃸䆎䑎䤘孅忏懺攕櫼歼殲瀸签籤纖纤虃襳讖谶鑯韯韱
音	䅧䜾䤃喑嬜愔揞暗歆瘖窨罯腤諳谙闇隌音韽韾黯
頁	頁页
頃	㩩㯋䔛倾傾潁熲穎頃顈顷颍颖
須	䅡嬃盨蕦須须鬚
頤	㺇㺿㼢䇫䱌姬宧弬洍茝頤颐
頪	禷类纇蘱頪類颣
頮	頮
頯	䟸頯
頻	㰋嚬濒瀕蘋頻顰频颦
顥	灏灝顥颢
風	偑堸岚嵐枫楓檒沨渢猦疯瘋葻諷讽風颿飌风
飛	䬠飛飞騛
食	蚀蝕食飤飭飾饬饰
飧	蕵飧
首	䭭首
香	萫香
馬	㾺䣕䧞傌吗嗎妈媽榪玛瑪码碼禡罵蚂螞馬马骂鰢鷌
馭	馭驭
馵	㺛馵
馽	馽
駁	駁驳
驫	驫
骨	㾶䮩䯇䯉䱻嗗尳愲搰榾滑猾磆縎蓇螖顝骨鶻鹘
高	䬘䯨䯪嗃嚎塙壕巐搞敲暠槀槁歊毃毫滈濠瀥熇燺犒皜碻稾稿篙縞缟翯膏蒿薃薧藁藃蠔謞豪鄗鎬镐髇高鰝
髟	髟
鬥	鬥鬪鬬
鬧	閙闹鬧
鬩	㦦阋鬩
鬯	鬯
鬱	欝灪爩鬱
鬲	㣂䃒䈪䙐䩹䮥嗝搹槅滆翮膈蒚虉鎘镉隔鬲
鬳	甗鬳
鬼	㠢㱱䁛䃬䕇䫥䴜傀块塊媿嵬巍廆愧槐溾犩瑰瘣磈聭藱螝褢謉隗餽騩鬼魁魏
鬽	鬽
魚	䁩䰻䱷渔漁魚鱼
魝	蓟薊魝
魯	噜嚕橹櫓穭魯鲁
鮮	䉳廯癣癬藓蘚鮮鲜
鯀	䧰鯀鲧
鰥	㱎䤽瘝鰥鳏
鱻	鱻
鳥	㨶岛島捣搗瞗窎窵茑蔦鳥鸟
鳧	凫鳧鳬
鳴	鳴鸣
鴇	駂鴇鸨
鹵	㔪卤樐滷蓾鏀鹵
鹽	塩盐鹽
鹿	㼾䍡廘摝漉簏蔍螰轆辘鏕騼鹿麓
麀	鏖麀
麃	儦瀌犥皫臕藨鄜鑣镳麃
麗	㿛䕻䚕俪儷孋廲彲曬欐灑矖穲籭纚襹躧逦邐郦酈酾釃驪骊鱺鲡鸝鹂麗
麤	麁麄麤
麥	麥麦
麻	㦄㸏䃺䊳䭩䯢么劘嘛塺嬤嬷懡摩爢犘痲磨糜縻蘑蘼醿靡魔麻麼麽麾
黁	黁
黃	㶇䤑䬝䵃僙彉横橫潢獚璜癀磺簧蟥觵趪鐄鱑黃黄黉黌
黍	黍
黑	㱄䁿䆀䘃嘿嚜墨嫼潶纆黑默
黨	㿩䣣傥儻党戃攩曭欓爣矘讜谠黨
黹	黹
黽	䵴僶憴渑澠繩绳蝇蠅譝鄳鱦黽黾鼆
鼀	竈鼀
鼎	濎薡鼎
鼓	皷瞽臌薣鼓
鼠	癙鼠
鼻	䑄䫁嚊濞襣鼻
齊	䍤䶒䶓䶩侪儕剂劑哜嚌懠挤擠斋櫅济濟癠穧脐臍荠薺虀蛴蠐賷赍跻躋隮霁霽鱭鲚麡齊齋齌齍齎齏齐齑
龍	㰍䆍䪊䮾儱咙嚨垄壟壠宠寵巃庞拢攏昽曨朧栊櫳泷瀧珑瓏矓砻礱竉笼籠聋聾胧茏蘢蠪襱豅贚躘陇隴驡鸗龍龐龓龙
龖	袭襲詟讋龖
龜	阄鬮龜龟
龠	䟑䶳瀹爚禴籥籲蘥讑鑰钥鸙龠
龹	䖭券劵勬帣弮拳桊潫眷絭觠豢韏飬餋齤
𡈼	䦐
