此版簡化主要涉及
1. 部件重複而其重複不影響含義的，去掉重複的部分
2. 甲骨以後在篆書分化的部件，作爲其它字部分時，採用較簡單的（如在其它字中作爲部件時「糸>幺」）
3. 繁化時可有可無的部件
5. 鳥獸重新擬定隸變
未涉及的簡化
1. 左右重複，有兩種簡化策略：可以縮合書寫縱向的筆畫（公式：2xN>N+1），或者可以參考草書簡寫
2. 多次重複書寫，可加漢字數字表示（如「龖>⿰二龍」）
2. 鳥獸足以「一」表示
3. 簡化「目、貝、見」等形

以下是部件分類（方向符號↺↶↷↔↕指示符號↓分數符號½⅓）
*衍生字
!構型不明
-----身體和器官-----
牛	725B	牛
*㞢	37A2	牛頭，甲骨此形象牛頭，假以記「有」字，後世和「之」異體同形
犬	72AC	狗
*㣇	38C7	某種獸類動物	（隸變調整）
*犮	72AE	⿻犬↓，跛狗
禸	79B8	從動物身上下放飾筆剝離的結構
繭	7E6D	⿻{繭}⿰糸虫，繭
羊	7F8A	羊，其上部「卝」常在其它字中作羊角形
能	80FD	熊
舄	8204	鵲
萬	842C	蠍子
虎	864E	虎，省作「虍」
!虒	8652	不明
虫	866B	蟲蛇
豕	8C55	豬
*豖	8C56	⿻豕丶
象	8C61	大象	（隸變調整）
豸	8C78	某種動物
貝	8C9D	貝殼
*毌	6BCC	穿貝殼、錢
隹	96B9	鳥
*䧹	49F9	⿸?隹，鷹，疑似形聲字
*雈	96C8	〾隹
馬	99AC	馬
魚	9B5A	魚
鳥	9CE5	鳥
*焉	7109	〾鳥
鹿	9E7F	鹿
*麗	9E97	⿱{鹿角}鹿，美麗，象形鹿有角
**丽	4E3D	拆分自「麗」，又甲骨文象形雙人並行的字也混淆于此
黽	9EFD	蛙
鼠	9F20	鼠
*巤	5DE4	⿱{毛}鼠
龍	9F8D	龍
龜	9F9C	龜
?	23386	某種動物，即「嬴羸」之偏旁
-----植物-----
不	4E0D	草根
世	4E16	葉子
丰	4E30	豐滿，象形有大根的植物
來	4F86	麥
卣	5363	果實，或象形一種盛酒的器皿
屮	5C6E	草
*卉	5349	⿱屮⿰屮屮
木	6728	樹
*巢	5DE2	⿱{巢}木
*未	672A	⿻木{額外樹枝}
*末	672B	⿻木↓，末梢
*本	672C	⿻木↓，根
*朱	6731	⿻木↓，株，樹樁
*朵	6735	〾木{花朵向下垂}
*朿	673F	〾木{有刺}
*果	679C	⿱{果}木
*栗	6817	⿱{栗}木
*桑	6851	〾木{有枝葉}
*爿	723F	½木
*片	7247	½木
*𠂔	20094	植物的生長受阻
瓜	74DC	瓜
禾	79BE	禾穀，即小米
*穆	7A46	〾禾{穗下垂}
*⿻禾〇	-	「禾」分化，即「剌」字左側的部分
竹	7AF9	竹子
*个	4E2A	½竹
米	7C73	米
*粥	7CA5	⿻米八，粥
韭	97ED	韭菜
齊	9F4A	三穗頂齊平
?	200B9	「垂」字上半結構，象花葉下垂
?	233B3	「麻」字下方一半的結構，剥取枲茎之皮，處理採到的草（如麻草）
-----筆畫-----
丨	4E28	後起
丿	4E3F	後起
乀	4E40	後起
乚	4E5A	後起
-----含義不明-----
!丁	4E01
!万	4E07	可能與「元」有分化關係
*!丏	4E0F	「万」分化
!且	4E14	一說案板或盛放食物的器具
!丙	4E19
!久	4E45
!乇	4E47
!乙	4E59	即一條曲線
!也	4E5F
!了	4E86
!五	4E94
*㐅	3405	「五」數字分化簡寫字
!亥	4EA5
!俞	4FDE	⿰凡⿱亼?
!公	516C	⿱八?
!六	516D	甲骨文形如「宀」，含義待考
!冂	5182	一說门扃，一說高堂，一說都邑的远郊
!冉	5189	大概象毛下垂，一說毛髮下垂貌
!刑	5211	⿰*刀，一說從「井」聲，聲母不合
!卓	5353
!卯	536F
!厶	53B6
!可	53EF	⿹?口
!号	53F7	⿱口?
!司	53F8	⿱?口=↔后
!后	540E	⿱?口=↔司
!四	56DB
!壬	58EC
!夗	5917
!害	5BB3
!尉	5C09	⿰?寸
!尗	5C17
!尚	5C1A	⿳?冂口
!屋	5C4B	⿱?室
!屑	5C51	⿱?肉
!屯	5C6F
!帝	5E1D
!平	5E73
!弱	5F31
!强	5F3A	一說從「蟲」、「弘」聲
!截	622A	⿰?戈
!所	6240	⿰?斤
!才	624D
!拋	62CB
!拜	62DC	⿰手?
!敄	6544	⿰?攴
!敫	656B	⿰?攴
!易	6613	⿰氺{器皿傾倒}
!會	6703	⿴合?
!枚	679A	⿰木?，從「木」，?聲，一說「微」聲
!染	67D3	⿰水⿱?木
!柔	67D4
!柬	67EC
!桀	6840
!款	6B3E	⿰?欠
!毀	6BC0	⿰?殳
!氾	6C3E	⿰水?
!法	6CD5	⿰水?
!甚	751A	⿱口?
!由	7531	⿱?口
!甹	7539
!疐	7590	⿱?止
!癸	7678	「巫」旋轉45度
!皋	768B
!盈	76C8	⿱?皿
!盾	76FE
!睿	53E1	⿱?目
!矞	77DE	⿱矛?
!离	79BB
!粟	7C9F	⿱?米
!翏	7FCF
!者	8005
!耎	800E	一說「需」分化
!耿	803F
!肙	8099
!臱	81F1
!艮	826E	一說從「目」從「匕」，一說「見」分化
!良	826F
!菐	83D0
!襄	8944	⿴衣?
!規	898F
!貴	8CB4	⿱?貝，一說兩個來源，其一「簀」字之象形，其一雙手捧沙會意「遺」字
!送	9001	⿰辵?
!陳	9663	⿰?東
!雋	96CB	⿱隹?
!需	9700	⿱雨?，一說分化爲「耎」
!鬱	9B31
!?	20088	殄/顛，「真」上方的結構
!𠩺	20A7A	⿰⿱木?攴
!⿱?口	20BD1	即「話」右側部分，一說形聲上方爲「氒」，即「久」
!?	21249	即「㱿」左側部分，可能是一種容器
!?	21562	即「錽」右側部分，一說象形馬首
!⿱巛囟	21FFA	即「腦」，後起，一說從「夒」聲，也可能有後世構造成分
!?	268DE	即「頤」左側部分
!⿱仌口	27BAB	即「卻」左側部分，一說「去」字分化取其聲
!?	3054E	即「徹」右側的部分
!旬/匀/軍	-	「旬匀軍」包圍結構部分，一說象形「螾」，一說象「十日」
