# 本表聲旁及轄字無重覆
# 少量轄字的聲化字的附屬字()標示
# 特殊情況用[]標示
𦥑	⺽䳔閰𦥑
仁	仁佞忈芢𣏴𣲚𥄰
亼	亼
今	㕂㪁㲐䑤䩂䪩䰼䶃䶖今仱吟(荶𣵴𥆽𦛽𪑑)坅妗岑岒庈忴扲昑枔棽欦汵玪琴(䔷噖𦠴)砛笒紟耹肣芩衾(搇𠹸)衿(𠸐)訡赺趻軡鈐(𤪊)钤雂霒靲鳹鹶黅黔𥄯𩠻
介	㖋㖎㜾㝏㠹㰡䚸䦇䦏䯰䲸介价吤圿妎尬岕庎忦扴斺炌玠畍疥砎祄紒芥(𠶋(𦄶))蚧衸阶骱魀魪齘𬹼
界	䛺堺楐琾界畍鎅𠝹𤋽𤲂𨺬
仌	㓈仌冫
冰	冰栤氷砯𢬄𦀋𨀰
馮	㵗凴慿憑馮
冯	冯
凭	凭
从	丛从怂枞疭纵耸苁
付	㖚㤔㾈䂤䑧䠵䵾付咐坿姇弣怤拊柎泭祔符(䒀)紨胕苻蚹袝詂跗軵鉜附(䮛)駙驸鮒鲋𡧛
府	俯府捬椨焤腐腑
仙	仙仚苮
代	㭖䒫代垈岱帒柋玳蚮袋貸(蟘)贷鮘鴏黛𠁀𠰺𢂌𢫙𦨮𩂠
令	㡵㱓㲆㸳㾉䍅䠲䯍令伶(𠴒)冷(唥𣇝)刢呤囹坽姈岭岺彾怜拎旍昤朎柃泠(霗)炩狑玲瓴皊矜砱秢竛笭紷羚翎聆(䉁)舲苓(𡅐𣉏𤋶𨩖)蛉袊詅跉軨邻鈴铃閝阾領(䕘嶺𦆺)领駖魿鴒鸰鹷齡齢龄𠖝
零	㩕㬡㯪䌢䙥䴇䴫澪燯蕶零
命	命掵椧𠴠𠵴𦁸𨉟
件	件
任	㤛㳝㶵䇮䋕䛘䣸任姙恁拰栠栣秹絍荏袵賃(𠿹)赁銋餁鵀𠄶𠲏𤞘𤶄𥆂𨠲
企	㖉企峜𨀣
伊	伊咿洢蛜𢙬𦭽
伏	䟮伏垘栿洑絥茯袱覄
伐	㘺䣹伐垡栰浌筏(𦠱)茷閥阀𢬩
休	㳜㹯㾋䏫䛙䮌休咻庥恘恷烋烌茠貅銝髤髹鵂鸺
位	位涖(蒞)莅𠴖𡸏
余	㻌䋡䍱䞮䟻䣄䩣䳜余俆凃(𡍼)叙(溆)唋峹嵞庩徐(蒣𣉹𣻄)悆悇捈敍(潊)敘(漵)斜(㙦䔑厁)梌涂(塗蒤)狳畬(𦼞)畭硢稌筡艅蜍途酴雓餘(𧃋)馀駼鮽鵌𠄜𣇞𤫿𤬀𥚤𥥸𬳿
荼	䅷瑹荼鷋𠻬𢴉𣘻𩻓
茶	嗏搽茶𣗪(𡁽)𤯊𥻹𦓅𨃓𪄦
佘	佘畲賒赊𦯬𦾠
佩	㧩䊃佩姵珮
侃	侃偘諐
來	㾢䅘䋱䚅䚞來倈勑唻(𢴙)婡崍庲徠斄棶淶猍琜睞箂萊(𢵭𨅼)誺賚逨郲錸顂騋鯠鶆𢜞𢯦𣛤𤀛𦠘𧼛𨂐𩳳麳𪘨
来	俫崃徕来梾涞睐莱赉铼𣑎𣘾𪎌
麥	䥑䨫䮮嘜麥𪄳
麦	唛麦鿏鿺
侌	侌霠
陰	廕癊蔭(𡓅𨯛)陰𠽛𣼩
隂	䕃隂
阴	荫阴
侖	㖮㫻㷍䈁䑳侖倫(溣𠹹𨫅)圇埨婨崘崙(磮𢳳𣜱𣼍𦟹)惀掄棆淪睔碖稐綸耣腀菕蜦論踚輪錀陯鯩𠁄𠓹𠓻𡃋𡈺𢀧𢜒𣗾𣘈𧛈𧷺𧹪
仑	㓆仑伦囵抡沦纶论轮𫭢𬬭𰗖
侯	㑨㢿㬋㮢䂉䗔䙈䞀䫛䳧侯候(𤠣)喉堠帿猴瘊睺篌糇緱缑翭葔鄇鍭餱鯸𤬈𬭤
矦	㗋㺅矦
[⿳𫜹冖又]	㓎㾛䘲䜷䯹唚埐寝寢梫濅祲綅薓誛鋟锓駸骎鮼𥺑𨡉
侵	䈜侵寑葠𠸬𣋨𨃏𩮕
浸	䆮寖浸蓡𠺸𢟖
便	㛹便楩箯緶缏鞭鯾
保	㨐䭋䳰保堡堢媬宲椺煲緥葆藵裒褒褓襃賲𠸒
俞	㓱㡏㢏㺄㼶䃋䄖䜽䠼䤅䩱䬔䵉俞偷匬喻堬媮崳嵛愈(癒𢷀𣜴𤀒𥣒𦾤𨮋𩙍)愉揄榆(䕆)歈毹渝(蕍)牏瑜瘉睮窬緰羭腧萮蝓褕覦觎諭谕貐踰輸输逾(𩙋)鄃鍮隃騟𣈥𣈯𤭷𧱬𩜶
兪	偸兪喩婾楡毺
信	信
倉	䅮䢢䤌䱽仺倉傖凔創(𣋃𤏬𦼃)嗆嵢愴戧搶槍滄熗牄獊瑲瘡篬艙蒼(濸)螥謒賶蹌鎗鶬
仓	䲝仓伧创呛怆戗抢枪沧炝玱疮舱苍跄鸧
倝	㲦䮧乾(㨴墘漧𠼳𢠥)倝幹(擀檊澣簳𦼮)斡(濣)榦翰(瀚)螒雗韓韩(鿰)鶾𤃬
傘	傘
伞	伞
仐	仐
[⿱至用]	㑲㣁㸢備(㷶憊𡀠)僃犕糒鞴韛𠻋𡢼𢊑𥡘
备	俻备惫𡞕𥓶
[⿱冃羽]	㲩䈳䌈䑽䪚傝塌搨榻毾溻禢褟蹋遢鎉闒(躢)阘鰨鳎
僉	㷿㿌䌞䩎䲓䶨僉儉(𢸟𨇓𨯘)劍劒劔厱噞嬐嶮憸撿(籡)斂(瀲籢蘞𤒦)檢歛(㶑籨蘝𡄥𢹦𣌋𨰇)殮澰獫瞼礆簽(䊴𣠺)羷臉薟襝譣醶鐱險顩驗鹼𭺷
佥	佥俭剑崄捡敛(潋蔹)检殓猃睑硷签脸莶裣险验
㑒	㑒㪘㰸倹検険鹸𡸴𢮦𥇥𫠗
匳	匳
奩	匲奩檶
奁	奁
𧶠	䄣䢱儥凟匵嬻櫝殰瀆牘犢瓄皾竇(𡔍)續藚襩覿讀讟豄贕贖鑟韇韥黷𡂝𡔍𧶠
[卖]	㱩椟渎牍犊窦续觌读赎黩
[売]	㸿涜続読
兀	㐳䑢兀卼屼扤杌矹虺豗軏(𤍆)阢靰髡鼿𠮾𡵉(𤈡)𣲍𣾃𤮾𤮿𨓢𩂁𫐄
允	㭇㽙䆓䦾允吮抁沇狁玧鈗阭馻𨋍
兂	兂
元	㐾㝴㪴䏓䛃䦎䬧䯈䲮䲶元冠(蒄)刓园坃妧岏忨抏朊杬沅玩(𠶃)盶笎翫芫(𢯥)蚖衏貦远(䓕)邧阮(𠴉𢭫𦰟(𢴝))頑(㹕)顽髡魭黿鼋𠰂
兄	㑆㚾㫛兄况岲怳況炾眖貺贶軦𧚢
充	㓍㤝㧤㳘䘪䟲充珫統(𥴗𦼟𨭑)綂(𥽄)统(𡎭)茺銃(𧀏)铳𩩇𪁇
兆	㸠䂪䄻䍮䑬䠷佻兆咷垗姚(𢱐)宨庣恌挑(𨃑)旐晀晁(𩺣)朓桃洮烑狣珧眺祧窕筄(艞)絩罀聎脁覜誂趒跳逃銚铫雿鞉頫餆駣鮡鼗𡭰𢬹𣑯𫖯
